month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2024-10,SAI,GM3A 700,"MOTOR OLEOHIDRAULICO, SAI, GM3A 700",PIEZA,11053.39,4.0
2024-10,SAI,GM4 1000,"MOTOR OLEOHIDRAULICO, SAI, GM4 1000",PIEZA,19083.89,6.0
2024-12,METARIS,T6EDM,"BOMBA OLEOHIDRAULICA, METARIS, T6EDM",UNIDAD,4822.46,2.0
2024-12,VULKAN,3115,"ELEMENTO DE ACOPLE, VULKAN, 3115",UNIDAD,23831.42,1.0
2024-12,VULKAN,RATO-DS 3115-2201,"ACOPLES, VULKAN, RATO-DS 3115-2201",UNIDAD,22190.11,1.0
2025-01,METARIS,238535,"BOMBA OLEOHIDRAULICA, METARIS, 238535",UNIDAD,2014.39,1.0
2025-01,METARIS,923953,"PLATO SEPARADOR  KIT 35 VQ, METARIS, 923953",UNIDAD,636.2,6.0
2025-01,METARIS,923954,"PLATO SEPARADOR  KIT 45 VQ, METARIS, 923954",UNIDAD,1014.2,15.0
2025-01,METARIS,CT-10-F-30,"VALVULA DE ALIVIO, METARIS, CT-10-F-30",UNIDAD,1019.82,3.0
2025-01,METARIS,S24-10387-0,"CARTUCHO IMPULSOR, METARIS, S24-10387-0",UNIDAD,470.43,1.0
2025-01,METARIS,S24-40383-0,"CARTUCHO, METARIS, S24-40383-0",UNIDAD,27708.5,26.0
2025-01,PULLMASTER,23125,"KIT  DE SELLOS, PULLMASTER, 23125",UNIDAD,3803.75,8.0
2025-01,PULLMASTER,23121G,"KIT  DE SELLOS, PULLMASTER, 23121G",UNIDAD,305.99,2.0
2025-01,PULLMASTER,23131G,"KIT  DE SELLOS, PULLMASTER, 23131G",UNIDAD,467.62,4.0
2025-01,TULSA,41752,"PORTA RODAJE, TULSA, 41752",UNIDAD,876.64,2.0
2025-01,VULKAN,RATO1720,"COMPONENTE DE ACOPLE, VULKAN, RATO1720",UNIDAD,7428.17,1.0
2025-02,VULKAN,LC 4140,"BOCINAS, VULKAN, LC 4140",UNIDAD,703.96,18.0
2025-02,VULKAN,M8 - 10,"TUERCA HEXAGONAL, VULKAN, M8 - 10",UNIDAD,192.85,18.0
2025-02,VULKAN,M8 -35,"PERNO HEXAGONAL, VULKAN, M8 -35",UNIDAD,720.48,18.0
2025-02,VULKAN,M8 4140,"ARANDELAS, VULKAN, M8 4140",UNIDAD,265.28,18.0
2025-02,VULKAN,RATO S,"ELEMENTO DE ACOPLE, VULKAN, RATO S",UNIDAD,12132.63,1.0
2025-02,VULKAN,S-1711,"ELEMENTO DE ACOPLE, VULKAN, S-1711",UNIDAD,10219.79,1.0
2025-03,METARIS,920025,"KIT DE SELLO, METARIS, 920025",KIT,280.82,10.0
2025-03,METARIS,922733,"KIT DE SELLO, METARIS, 922733",KIT,190.43,20.0
2025-03,METARIS,923548,"KIT DE SELLO, METARIS, 923548",KIT,235.15,20.0
2025-03,METARIS,S24-10219-0,"KIT DE SELLO, METARIS, S24-10219-0",KIT,2084.05,40.0
