month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2025-03,SAI,0140130087,"DISTRIBUIDOR ROTATIVO, SAI, 0140130087",UNIDAD,272.94,3.0
2025-03,SAI,0190000083,"DISTRIBUIDOR, SAI, 0190000083",UNIDAD,3280.43,5.0
2025-03,SAI,0190003187,"DISTRIBUIDOR ROTATIVO, SAI, 0190003187",UNIDAD,583.05,2.0
2025-04,BRAND HYDRAULICS,FC51-1-1/2,"VALVULA DE CONTROL, BRAND HYDRAULICS, FC51-1-1/2",UNIDAD,1195.02,2.0
2025-04,BRAND HYDRAULICS,FC51-1-1/4,"CONTROL DE FLUJO, BRAND HYDRAULICS, FC51-1-1/4",UNIDAD,1115.35,2.0
2025-04,CHAR LYNN,0021373-002,"EJE DE MOTOR, CHAR LYNN, 0021373-002",UNIDAD,154.95,1.0
2025-04,EATON CHAR LYNN,119-1043,"MOTOR HIDRAULICO, EATON CHAR LYNN, 119-1043",UNIDAD,9294.37,1.0
2025-04,VICKERS/DANFOS,394974,"SELLO METALICO, VICKERS/DANFOS, 394974",UNIDAD,196.51,11.0
2025-04,VICKERS/DANFOS,312066-3,"MOTOR HIDRAULICO, VICKERS/DANFOS, 312066-3",UNIDAD,5825.84,3.0
2025-08,BRAND,FC51-3/4-SS,"CONTROL DE EJE, BRAND, FC51-3/4-SS",UNIDAD,298.6,3.0
2025-08,CHAR-LYNN,114-1035-006,"MOTOR HIDRAULICO, CHAR-LYNN, 114-1035-006",UNIDAD,1786.26,2.0
2025-08,CHAR-LYNN,119-1042,"MOTOR HIDRAULICO, CHAR-LYNN, 119-1042",UNIDAD,5836.56,3.0
2025-08,CHAR-LYNN,119-1043-003,"MOTOR HIDRAULICO, CHAR-LYNN, 119-1043-003",UNIDAD,9068.84,5.0
2025-08,CHAR-LYNN,119-1043-003,"MOTOR HYDRAULICO, CHAR-LYNN, 119-1043-003",UNIDAD,9686.33,5.0
2025-08,CHAR-LYNN,61234-00,"JUEGO DE SELLOS PARA MOTOR, CHAR-LYNN, 61234-00",UNIDAD,109.47,6.0
2025-08,CHAR-LYNN,6405-00,"JUEGO DE SELLOS PARA MOTOR, CHAR-LYNN, 6405-00",UNIDAD,506.96,17.0
2025-08,CHAR-LYNN,6406-00,"SELLO PARA EJE HIDRAULICO, CHAR-LYNN, 6406-00",UNIDAD,626.61,20.0
2025-08,CHAR-LYNN,8507-003,"GEROLER PARA MOTOR CHAR LYNN, CHAR-LYNN, 8507-003",UNIDAD,752.83,2.0
2025-08,MARION,MS-150-5,"ELEMENTO DE SUCCION, MARION, MS-150-5",UNIDAD,1740.2,10.0
2025-08,PULLMASTER,23123,"KIT DE SELLOS, PULLMASTER, 23123",UNIDAD,3652.32,10.0
2025-08,PULLMASTER,25953,"DISCOS, PULLMASTER, 25953",UNIDAD,440.66,10.0
2025-08,SAI,54100031,"MOTOR HIDRAULICO, SAI, 54100031",UNIDAD,24112.65,10.0
2025-08,SAI,0051050008,"MOTOR HIDRAULICO, SAI, 0051050008",UNIDAD,993.1,1.0
2025-08,SAI,0053100081,"MOTOR HIDRAULICO, SAI, 0053100081",UNIDAD,1939.88,1.0
2025-08,SAI,0055030076,"MOTOR HIDRAULICO, SAI, 0055030076",UNIDAD,8539.11,3.0
2025-09,VELJAN,V034-66736,"ANILLO, VELJAN, V034-66736",UNIDAD,1474.58,5.0
2025-09,VELJAN,V034-67030,"ANILLO, VELJAN, V034-67030",UNIDAD,1477.66,5.0
2025-09,VELJAN,VM4C-043-002,"MOTOR HIDRAULICO, VELJAN, VM4C-043-002",UNIDAD,2519.41,3.0
2025-09,VELJAN,VS14-28180,"EJE, VELJAN, VS14-28180",UNIDAD,1763.96,10.0
2025-09,VELJAN,VS24-10228,"CARTUCHO, VELJAN, VS24-10228",UNIDAD,5516.59,10.0
